场景,难度,红方基线,蓝方固定比例随机,蓝方最近拦截弹,蓝方威胁优先,蓝方最小代价分配
E01,easy,b0_random,通过;1步;2.33s,通过;1步;2.27s,通过;1步;2.25s,通过;1步;2.25s
E02,easy,b0_random,通过;1步;2.32s,通过;1步;2.33s,通过;1步;2.57s,通过;1步;2.64s
E03,easy,b0_random,通过;1步;2.64s,通过;1步;2.82s,通过;1步;2.67s,通过;1步;2.62s
M01,medium,b0_random,通过;1步;2.69s,通过;1步;2.69s,通过;1步;2.73s,通过;1步;2.83s
M02,medium,b0_random,通过;1步;2.79s,通过;1步;2.97s,通过;1步;2.81s,通过;1步;2.89s
M03,medium,b0_random,通过;1步;2.90s,通过;1步;2.97s,通过;1步;3.37s,通过;1步;3.09s
H01,hard,b0_random,通过;1步;3.01s,通过;1步;3.01s,通过;1步;2.88s,通过;1步;2.86s
H02,hard,b0_random,通过;1步;2.87s,通过;1步;2.84s,通过;1步;2.82s,通过;1步;2.82s
H03,hard,b0_random,通过;1步;2.98s,通过;1步;2.80s,通过;1步;2.84s,通过;1步;2.90s
E01,easy,b1_priority,通过;1步;2.34s,通过;1步;2.33s,通过;1步;2.32s,通过;1步;2.32s
E02,easy,b1_priority,通过;1步;2.42s,通过;1步;2.41s,通过;1步;2.60s,通过;1步;2.69s
E03,easy,b1_priority,通过;1步;2.59s,通过;1步;2.84s,通过;1步;2.70s,通过;1步;2.72s
M01,medium,b1_priority,通过;1步;2.69s,通过;1步;2.66s,通过;1步;2.64s,通过;1步;2.93s
M02,medium,b1_priority,通过;1步;2.79s,通过;1步;2.95s,通过;1步;2.78s,通过;1步;2.78s
M03,medium,b1_priority,通过;1步;2.71s,通过;1步;2.86s,通过;1步;3.24s,通过;1步;3.04s
H01,hard,b1_priority,通过;1步;3.00s,通过;1步;3.00s,通过;1步;2.88s,通过;1步;2.84s
H02,hard,b1_priority,通过;1步;2.85s,通过;1步;2.83s,通过;1步;2.81s,通过;1步;2.83s
H03,hard,b1_priority,通过;1步;2.92s,通过;1步;2.81s,通过;1步;2.84s,通过;1步;2.92s
E01,easy,b2_static_assignment,通过;1步;2.34s,通过;1步;2.32s,通过;1步;2.33s,通过;1步;2.34s
E02,easy,b2_static_assignment,通过;1步;2.43s,通过;1步;2.47s,通过;1步;2.76s,通过;1步;2.75s
E03,easy,b2_static_assignment,通过;1步;2.91s,通过;1步;2.90s,通过;1步;2.75s,通过;1步;2.83s
M01,medium,b2_static_assignment,通过;1步;2.80s,通过;1步;2.90s,通过;1步;2.95s,通过;1步;3.01s
M02,medium,b2_static_assignment,通过;1步;3.10s,通过;1步;2.97s,通过;1步;3.00s,通过;1步;2.93s
M03,medium,b2_static_assignment,通过;1步;3.02s,通过;1步;3.32s,通过;1步;3.00s,通过;1步;2.73s
H01,hard,b2_static_assignment,通过;1步;2.93s,通过;1步;2.79s,通过;1步;2.81s,通过;1步;2.80s
H02,hard,b2_static_assignment,通过;1步;2.78s,通过;1步;2.83s,通过;1步;2.82s,通过;1步;2.95s
H03,hard,b2_static_assignment,通过;1步;2.93s,通过;1步;2.94s,通过;1步;2.97s,通过;1步;2.70s
E01,easy,b3_rolling_rules,通过;1步;2.31s,通过;1步;2.32s,通过;1步;2.33s,通过;1步;2.34s
E02,easy,b3_rolling_rules,通过;1步;2.41s,通过;1步;2.47s,通过;1步;2.77s,通过;1步;2.74s
E03,easy,b3_rolling_rules,通过;1步;2.89s,通过;1步;2.89s,通过;1步;2.72s,通过;1步;2.85s
M01,medium,b3_rolling_rules,通过;1步;2.81s,通过;1步;2.91s,通过;1步;2.96s,通过;1步;3.01s
M02,medium,b3_rolling_rules,通过;1步;3.09s,通过;1步;2.96s,通过;1步;3.00s,通过;1步;2.93s
M03,medium,b3_rolling_rules,通过;1步;3.00s,通过;1步;3.36s,通过;1步;3.04s,通过;1步;2.79s
H01,hard,b3_rolling_rules,通过;1步;2.94s,通过;1步;2.79s,通过;1步;2.82s,通过;1步;2.81s
H02,hard,b3_rolling_rules,通过;1步;2.78s,通过;1步;2.79s,通过;1步;2.79s,通过;1步;2.91s
H03,hard,b3_rolling_rules,通过;1步;2.91s,通过;1步;2.93s,通过;1步;2.97s,通过;1步;2.70s
