order,seed,student_target_id,teacher_target_id,student_score,teacher_score,student_fixed_target_score,teacher_fixed_target_score,student_suffix_return,teacher_suffix_return,student_end_step,teacher_end_step
1,1070,2555,2567,88.88888888888889,89.81481481481481,75.92592592592592,76.85185185185185,0.8888888888888885,0.8981481481481478,1856,1856
2,1073,2552,2559,78.24074074074075,76.38888888888889,65.27777777777777,65.27777777777777,0.7824074074074071,0.7638888888888886,1856,1856
3,1074,2555,2557,78.54166666666667,79.4675925925926,65.57870370370371,66.50462962962963,0.7854166666666665,0.7946759259259256,1861,1861
4,1075,-100,2574,82.5,82.5,69.53703703703702,69.53703703703702,0.8249999999999996,0.8249999999999996,1866,1866
5,1076,2555,2567,86.57407407407408,80.0925925925926,73.61111111111111,67.12962962962963,0.8657407407407405,0.8009259259259257,1866,1851
6,1078,2552,53,81.0570987654321,76.95987654320989,69.94598765432099,65.84876543209877,0.8105709876543207,0.7695987654320985,1866,1866
7,1079,2552,2559,75.92592592592592,73.78086419753087,62.96296296296296,60.817901234567906,0.7592592592592589,0.7378086419753083,1856,1866
8,1080,2552,2563,78.42592592592594,76.57407407407408,65.46296296296296,63.611111111111114,0.7842592592592589,0.7657407407407404,1851,1851
9,1081,-100,168,79.1820987654321,79.1820987654321,66.21913580246914,66.21913580246914,0.7918209876543207,0.7918209876543207,1856,1856
10,1082,2555,54,82.67746913580247,80.72530864197532,69.7145061728395,67.76234567901236,0.8267746913580243,0.8072530864197527,1851,1851
11,1085,2551,2559,90.84104938271605,83.75771604938272,77.87808641975309,70.79475308641976,0.9084104938271602,0.8375771604938268,1856,1856
12,1087,-100,168,73.77314814814815,73.77314814814815,60.81018518518518,60.81018518518518,0.7377314814814812,0.7377314814814812,1851,1851
13,1090,2552,106,90.74074074074075,88.88888888888889,77.77777777777777,75.92592592592592,0.907407407407407,0.8888888888888885,1866,1866
14,1091,2551,54,78.53395061728395,70.20061728395062,65.57098765432099,57.23765432098766,0.7853395061728392,0.702006172839506,1856,1851
15,1092,51,51,87.96296296296296,87.96296296296296,75.0,75.0,0.8796296296296292,0.8796296296296292,1851,1851
16,1094,2561,2565,76.43518518518519,72.75462962962963,63.47222222222222,61.64351851851852,0.7643518518518515,0.727546296296296,1866,1866
17,1098,2552,2563,91.66666666666666,91.66666666666666,80.55555555555556,80.55555555555556,0.9166666666666663,0.9166666666666663,1866,1866
18,1099,-100,168,84.72222222222221,84.72222222222221,71.75925925925925,71.75925925925925,0.8472222222222218,0.8472222222222218,1861,1861
19,1100,2561,2565,82.61574074074073,81.68981481481481,69.65277777777777,68.72685185185185,0.826157407407407,0.8168981481481478,1861,1861
20,1102,2555,2555,70.95679012345678,70.95679012345678,57.99382716049382,57.99382716049382,0.7095679012345676,0.7095679012345676,1866,1866
21,1108,2552,52,74.7145061728395,70.6712962962963,61.75154320987654,57.708333333333336,0.7471450617283947,0.7067129629629627,1856,1866
22,1110,-100,2573,87.03703703703704,87.03703703703704,75.92592592592592,75.92592592592592,0.8703703703703701,0.8703703703703701,1861,1861
23,1111,-100,2571,85.18518518518519,85.18518518518519,72.22222222222223,72.22222222222223,0.8518518518518514,0.8518518518518514,1866,1866
24,1113,2552,2561,79.24382716049384,83.36419753086419,66.28086419753087,70.40123456790123,0.792438271604938,0.8336419753086416,1851,1851
25,1114,2551,2567,83.33333333333334,80.84876543209876,72.22222222222223,69.73765432098764,0.8333333333333329,0.8084876543209872,1851,1866
26,1116,2555,106,89.75308641975309,82.39197530864197,76.79012345679013,69.42901234567901,0.8975308641975306,0.8239197530864195,1851,1851
27,1117,-100,2569,81.28086419753086,81.28086419753086,68.3179012345679,68.3179012345679,0.8128086419753082,0.8128086419753082,1866,1866
28,1119,-100,2570,85.18518518518519,79.62962962962963,74.07407407407408,68.51851851851852,0.8518518518518515,0.7962962962962961,1851,1851
29,1122,2551,2555,75.46296296296296,79.16666666666666,62.5,66.20370370370371,0.7546296296296293,0.7916666666666663,1866,1866
30,1123,2551,2565,77.86265432098766,79.26697530864197,64.8996913580247,66.30401234567901,0.7786265432098762,0.7926697530864195,1856,1866
31,1124,2555,2563,80.625,78.80401234567901,69.51388888888889,67.6929012345679,0.8062499999999996,0.7880401234567899,1861,1861
32,1127,-100,2574,84.25925925925925,84.25925925925925,71.29629629629629,71.29629629629629,0.8425925925925921,0.8425925925925921,1856,1856
